siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,Br,hplus,svol,ppt,fullChemLab,daysSample,startDate,lastDate
CO02,Annual,2003,67,100,81,8.942,0.842,0.862,0.822,2.667,21.854,7.009,1.804,9.063,-9,0.145,20656.9,200.498,31,364,12/31/2002 0:00,12/30/2003 0:00
CO02,Annual,2004,63,100,71,4.224,0.449,0.647,0.575,4.439,19.753,7.912,0.899,9.831,-9,0.125,27177.2,179.733,31,364,12/30/2003 0:00,12/28/2004 0:00
CO02,Annual,2005,70,100,85,3.738,0.422,0.507,0.845,2.386,17.358,5.775,1.014,8.848,-9,0.168,25371,211.167,33,371,12/28/2004 0:00,1/3/2006 0:00
CO02,Annual,2006,81,100,85,3.528,0.372,0.51,0.549,3.606,18.052,6.88,0.843,8.134,-9,0.126,27259.7,196.003,40,364,1/3/2006 0:00,1/2/2007 0:00
CO02,Annual,2007,62,98,62,2.912,0.313,0.277,0.361,3.213,14.331,5.734,0.626,6.137,-9,0.089,20872.6,120.326,27,365,1/2/2007 0:00,1/2/2008 0:00
CO02,Annual,2008,75,100,75,2.311,0.26,0.383,0.49,2.219,10.574,4.113,0.765,4.973,-9,0.099,23320.4,153.027,35,363,1/2/2008 0:00,12/30/2008 0:00
CO02,Annual,2009,79,98,79,13.047,0.67,0.651,0.869,2.153,11.834,4.347,1.068,8.016,-9,0.076,19153.6,180.954,39,364,12/30/2008 0:00,12/29/2009 0:00
CO02,Annual,2010,83,98,92,8.168,0.577,0.556,0.663,2.416,13.833,5.002,1.069,6.799,-9,0.139,26193.8,213.809,39,364,12/29/2009 0:00,12/28/2010 0:00
CO02,Annual,2011,83,96,88,3.372,0.398,0.377,0.754,2.765,12.315,4.93,1.047,6.283,-9,0.104,28203.2,209.438,38,371,12/28/2010 0:00,1/3/2012 0:00
CO02,Annual,2012,59,100,48,2.674,0.318,0.286,0.477,2.801,9.279,4.273,0.684,5.571,-9,0.062,11088.9,159.163,24,364,1/3/2012 0:00,1/1/2013 0:00
CO02,Annual,2013,71,98,70,2.52,0.321,0.336,0.397,3.926,11.288,5.6,0.611,5.896,-9,0.068,35784.4,152.744,34,364,1/1/2013 0:00,12/31/2013 0:00
CO02,Annual,2014,44,94,33,1.519,0.197,0.243,0.304,2.628,7.991,3.847,0.517,3.752,-9,0.075,19047.9,151.914,20,363,12/31/2013 0:00,12/29/2014 0:00
CO02,Annual,2015,81,94,84,1.986,0.238,0.27,0.461,2.384,7.533,3.554,0.652,3.591,-9,0.067,36030,158.915,39,365,12/29/2014 0:00,12/29/2015 0:00
CO02,Annual,2016,68,89,72,2.348,0.268,0.332,0.37,2.45,7.045,3.496,0.549,3.165,-9,0.04,30092.1,127.629,31,371,12/29/2015 0:00,1/3/2017 0:00
CO02,Annual,2017,69,81,80,2.513,0.282,0.372,0.316,2.276,6.153,3.159,0.608,3.403,-9,0.035,29121.3,112.685,31,364,1/3/2017 0:00,1/2/2018 0:00
CO02,Annual,2018,77,98,65,3.196,0.341,0.357,0.568,3.196,9.67,4.668,0.941,3.926,-9,0.056,26616.2,162.242,36,365,1/2/2018 0:00,1/2/2019 0:00
