AREA,PERIMETER,SDL_GRDP,SDL_GRDPID,POINT,SITECODE,PI,EXPERIMENT,MAX_PDOP,CORR_TYPE,GPS_DATE,GPS_TIME,DATAFILE,UNFILT_POS,STD_DEV,GPS_HEIGHT,STAKE,LTER_POINT,Aspect,Slope
0.0000000000,0.0000000000,"26","345","565",GSTAKE48,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:12:52AM,r09181a.ssf,21.0000000000,0.0556590000,3526.4290000000,"48","48",285.2551269500,8.1112794876
0.0000000000,0.0000000000,"27","349","569",GSTAKE38,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:15:51AM,r09181a.ssf,21.0000000000,0.0874050000,3529.3720000000,"38","38",251.5650482200,6.7628607750
0.0000000000,0.0000000000,"28","353","573",GSTAKE28,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:19:18AM,r09181a.ssf,27.0000000000,0.0657790000,3530.1680000000,"28","28",270.0000000000,11.3099327090
0.0000000000,0.0000000000,"29","357","577",GSTAKE18,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:21:59AM,r09181a.ssf,37.0000000000,0.0984800000,3530.3750000000,"18","18",265.6012878400,9.2566823959
0.0000000000,0.0000000000,"30","361","581",GSTAKE8,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:25:33AM,r09181a.ssf,21.0000000000,0.0855570000,3528.2760000000,"8","8",255.9637603800,11.6486349110
0.0000000000,0.0000000000,"31","365","585",GSTAKE7,Skip Walker,observational-point,2.2000000000,Realtime Corrected,,11:15:11AM,r09181a.ssf,32.0000000000,0.1513310000,3528.9420000000,"7","7",225.0000000000,8.0494670868
0.0000000000,0.0000000000,"32","373","593",GSTAKE27,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:25:01AM,r09181a.ssf,27.0000000000,0.0883170000,3529.2240000000,"27","27",280.0079956100,12.1767787930
0.0000000000,0.0000000000,"33","377","597",GSTAKE37,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:28:34AM,r09181a.ssf,24.0000000000,0.0669780000,3528.5470000000,"37","37",285.9453735400,10.3150825500
0.0000000000,0.0000000000,"34","380","600",GSTAKE47,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:34:09AM,r09181a.ssf,27.0000000000,0.1372000000,3524.4920000000,"47","47",185.1944274900,15.4366407390
0.0000000000,0.0000000000,"35","384","604",GSTAKE57,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:37:11AM,r09181a.ssf,22.0000000000,0.0998730000,3520.7800000000,"57","57",237.5288085900,9.2566823959
0.0000000000,0.0000000000,"36","388","608",GSTAKE67,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:40:20AM,r09181a.ssf,52.0000000000,0.0917660000,3516.6160000000,"67","67",219.2894134500,10.0739660260
0.0000000000,0.0000000000,"37","392","612",GSTAKE77,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:44:31AM,r09181a.ssf,23.0000000000,0.0881670000,3508.3600000000,"77","77",243.4349517800,6.3793702126
0.0000000000,0.0000000000,"38","396","616",GSTAKE76,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:47:37AM,r09181a.ssf,24.0000000000,0.0567430000,3510.1080000000,"76","76",292.1663513200,20.0234851840
0.0000000000,0.0000000000,"39","400","620",GSTAKE66,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:50:38AM,r09181a.ssf,23.0000000000,0.0668630000,3515.9490000000,"66","66",259.6951599100,15.6161298750
0.0000000000,0.0000000000,"40","404","674",GSTAKE56,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:53:17AM,r09181a.ssf,21.0000000000,0.0719680000,3521.7970000000,"56","56",242.3540191700,16.5062274930
0.0000000000,0.0000000000,"41","408","678",GSTAKE46,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:56:21AM,r09181a.ssf,20.0000000000,0.0909040000,3526.6290000000,"46","46",270.0000000000,12.6803836820
0.0000000000,0.0000000000,"42","428","698",GSTAKE36,Skip Walker,observational-point,1.8000000000,Realtime Corrected,,12:17:05PM,r09181a.ssf,23.0000000000,0.0649560000,3531.2580000000,"36","36",205.0168914800,11.6902074810
0.0000000000,0.0000000000,"43","433","703",GSTAKE26,Skip Walker,observational-point,1.8000000000,Realtime Corrected,,12:22:31PM,r09181a.ssf,32.0000000000,0.1798870000,3532.7590000000,"26","26",277.1250000000,11.3956546780
0.0000000000,0.0000000000,"44","437","707",GSTAKE16,Skip Walker,observational-point,1.8000000000,Realtime Corrected,,12:25:55PM,r09181a.ssf,20.0000000000,0.0947920000,3532.3730000000,"16","16",273.0127868700,13.3780460360
0.0000000000,0.0000000000,"45","441","711",GSTAKE6,Skip Walker,observational-point,1.8000000000,Realtime Corrected,,12:28:35PM,r09181a.ssf,24.0000000000,0.0768410000,3530.9400000000,"6","6",284.0362548800,11.6486349110
0.0000000000,0.0000000000,"46","445","715",GSTAKE5,Skip Walker,observational-point,1.8000000000,Realtime Corrected,,12:31:01PM,r09181a.ssf,22.0000000000,0.0644360000,3535.7890000000,"5","5",243.4349517800,3.1996014118
0.0000000000,0.0000000000,"47","449","719",GSTAKE15,Skip Walker,observational-point,1.6000000000,Realtime Corrected,,12:33:52PM,r09181a.ssf,22.0000000000,0.1481040000,3536.9960000000,"15","15",279.4623413100,8.6466703415
0.0000000000,0.0000000000,"48","453","723",GSTAKE25,Skip Walker,observational-point,1.7000000000,Realtime Corrected,,12:36:57PM,r09181a.ssf,24.0000000000,0.2421370000,3537.2770000000,"25","25",282.9946289100,9.4681272507
0.0000000000,0.0000000000,"49","457","727",GSTAKE35,Skip Walker,observational-point,1.8000000000,Realtime Corrected,,12:40:24PM,r09181a.ssf,22.0000000000,0.0932050000,3534.8270000000,"35","35",263.6597900400,6.4579544067
0.0000000000,0.0000000000,"50","460","732",GSTAKE45,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,12:47:23PM,r09181a.ssf,27.0000000000,0.0903470000,3532.4720000000,"45","45",258.6900634800,3.6469705105
0.0000000000,0.0000000000,"51","464","736",GSTAKE55,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,12:51:26PM,r09181a.ssf,23.0000000000,0.0873360000,3528.1600000000,"55","55",288.4349365200,8.9848766327
0.0000000000,0.0000000000,"52","468","740",GSTAKE65,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,12:54:45PM,r09181a.ssf,21.0000000000,0.0620500000,3521.4870000000,"65","65",291.0375061000,9.8764734268
0.0000000000,0.0000000000,"53","472","744",GSTAKE75,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,12:58:12PM,r09181a.ssf,20.0000000000,0.0548860000,3515.2970000000,"75","75",285.9453735400,10.3150825500
0.0000000000,0.0000000000,"54","476","748",GSTAKE74,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:00:57PM,r09181a.ssf,21.0000000000,0.1052610000,3520.1830000000,"74","74",98.1301040650,5.0511527061
0.0000000000,0.0000000000,"55","480","752",GSTAKE64,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:03:55PM,r09181a.ssf,23.0000000000,0.1244200000,3530.0300000000,"64","64",315.0000000000,4.0446910858
0.0000000000,0.0000000000,"56","484","756",GSTAKE54,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:06:44PM,r09181a.ssf,20.0000000000,0.0727300000,3534.9280000000,"54","54",315.0000000000,3.0357236862
0.0000000000,0.0000000000,"57","488","760",GSTAKE44,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:09:46PM,r09181a.ssf,20.0000000000,0.0675230000,3538.8890000000,"44","44",254.7448883100,8.1112794876
0.0000000000,0.0000000000,"58","492","764",GSTAKE34,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:12:12PM,r09181a.ssf,28.0000000000,0.0561290000,3541.4660000000,"34","34",270.0000000000,5.7105932236
0.0000000000,0.0000000000,"59","496","768",GSTAKE24,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:14:56PM,r09181a.ssf,20.0000000000,0.1325940000,3541.9890000000,"24","24",251.5650482200,8.9848766327
0.0000000000,0.0000000000,"60","500","772",GSTAKE14,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:17:20PM,r09181a.ssf,21.0000000000,0.0814750000,3541.5230000000,"14","14",275.1944274900,7.8609585762
0.0000000000,0.0000000000,"61","504","776",GSTAKE4,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:19:47PM,r09181a.ssf,21.0000000000,0.0511200000,3541.7040000000,"4","4",284.0362548800,5.8851294518
0.0000000000,0.0000000000,"62","508","780",GSTAKE3,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:24:14PM,r09181a.ssf,21.0000000000,0.1632150000,3547.6540000000,"3","3",263.6597900400,12.7558717730
0.0000000000,0.0000000000,"63","512","784",GSTAKE13,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:28:58PM,r09181a.ssf,24.0000000000,0.1090540000,3550.0650000000,"13","13",254.7448883100,8.1112794876
0.0000000000,0.0000000000,"64","514","788",GSTAKE23,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:31:59PM,r09181a.ssf,25.0000000000,0.0815430000,3549.9040000000,"23","23",264.8055725100,7.8609585762
0.0000000000,0.0000000000,"65","518","792",GSTAKE33,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:35:12PM,r09181a.ssf,20.0000000000,0.0920800000,3551.2100000000,"33","33",260.5376586900,8.6466703415
0.0000000000,0.0000000000,"66","522","796",GSTAKE43,Skip Walker,observational-point,2.5000000000,Realtime Corrected,,01:44:05PM,r09181a.ssf,25.0000000000,0.1510550000,3547.9080000000,"43","43",270.0000000000,15.3762512210
0.0000000000,0.0000000000,"67","526","800",GSTAKE53,Skip Walker,observational-point,2.5000000000,Realtime Corrected,,01:49:11PM,r09181a.ssf,20.0000000000,0.1000090000,3542.0820000000,"53","53",225.0000000000,4.0446910858
0.0000000000,0.0000000000,"68","532","806",GSTAKE73,Skip Walker,observational-point,2.5000000000,Realtime Corrected,,01:54:42PM,r09181a.ssf,23.0000000000,0.0673690000,3527.5260000000,"73","73",296.5650634800,3.1996014118
0.0000000000,0.0000000000,"69","567","841",GSTAKE2,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,09:38:51AM,r092315a.ssf,22.0000000000,0.0573080000,3556.2490000000,"2","2",45.0000000000,1.0127503872
0.0000000000,0.0000000000,"70","571","845",GSTAKE12,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,09:42:12AM,r092315a.ssf,29.0000000000,0.0864660000,3559.3110000000,"12","12",296.5650634800,6.3793702126
0.0000000000,0.0000000000,"71","575","849",GSTAKE22,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,09:45:20AM,r092315a.ssf,21.0000000000,0.1203890000,3561.1900000000,"22","22",265.6012878400,9.2566823959
0.0000000000,0.0000000000,"72","579","853",GSTAKE32,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,09:49:16AM,r092315a.ssf,22.0000000000,0.0633920000,3560.6470000000,"32","32",272.4895629900,16.0543155670
0.0000000000,0.0000000000,"73","583","857",GSTAKE42,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,09:52:40AM,r092315a.ssf,22.0000000000,0.1784070000,3557.1980000000,"42","42",251.5650482200,4.5202274323
0.0000000000,0.0000000000,"74","585","859",GSTAKE52,Skip Walker,observational-point,2.2000000000,Realtime Corrected,,09:55:57AM,r092315a.ssf,22.0000000000,0.0644030000,3552.2380000000,"52","52",239.0362396200,16.2539176940
0.0000000000,0.0000000000,"75","589","863",GSTAKE62,Skip Walker,observational-point,2.2000000000,Realtime Corrected,,09:59:48AM,r092315a.ssf,20.0000000000,0.1214450000,3543.8900000000,"62","62",270.0000000000,9.9262456894
0.0000000000,0.0000000000,"76","593","867",GSTAKE72,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:03:07AM,r092315a.ssf,24.0000000000,0.1710830000,3536.3310000000,"72","72",251.5650482200,2.2636361122
0.0000000000,0.0000000000,"77","597","871",GSTAKE71,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:06:39AM,r092315a.ssf,21.0000000000,0.0644720000,3543.0010000000,"71","71",236.3099365200,10.2193775180
0.0000000000,0.0000000000,"78","599","873",GSTAKE61,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:08:47AM,r092315a.ssf,23.0000000000,0.1015500000,3553.0640000000,"61","61",191.3099365200,10.8250436780
0.0000000000,0.0000000000,"79","603","877",GSTAKE51,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:12:01AM,r092315a.ssf,21.0000000000,0.1184600000,3559.7660000000,"51","51",168.6900634800,3.6469705105
0.0000000000,0.0000000000,"80","609","883",GSTAKE31,Skip Walker,observational-point,2.9000000000,Realtime Corrected,,10:17:56AM,r092315a.ssf,21.0000000000,0.0996830000,3570.3460000000,"31","31",161.5650482200,8.9848766327
0.0000000000,0.0000000000,"81","613","887",GSTAKE21,Skip Walker,observational-point,2.9000000000,Realtime Corrected,,10:21:30AM,r092315a.ssf,22.0000000000,0.1361540000,3571.6710000000,"21","21",153.4349517800,6.3793702126
0.0000000000,0.0000000000,"82","621","895",GSTAKE1,Skip Walker,observational-point,2.9000000000,Realtime Corrected,,10:29:11AM,r092315a.ssf,38.0000000000,0.1500570000,3566.7660000000,"1","1",299.7448730500,11.3956546780
0.0000000000,0.0000000000,"83","369","589",GSTAKE17,Skip Walker,observational-point,2.3000000000,Realtime Corrected,,11:21:25AM,r09181a.ssf,26.0000000000,0.0887760000,3529.3630000000,"17","17",270.0000000000,14.0362434390
0.0000000000,0.0000000000,"84","24","243",GSTAKE10A,Skip Walker,observational-point,2.4000000000,Realtime Corrected,,08:06:33AM,r091715a.ssf,22.0000000000,0.1184070000,3539.1990000000,10A,"101",139.9697418200,22.2013874050
0.0000000000,0.0000000000,"85","607","881",GSTAKE41,Skip Walker,observational-point,3.1000000000,Realtime Corrected,,10:15:30AM,r092315a.ssf,22.0000000000,0.1427450000,3568.1910000000,"41","41",161.5650482200,8.9848766327
0.0000000000,0.0000000000,"86","617","891",GSTAKE11,Skip Walker,observational-point,2.9000000000,Realtime Corrected,,10:25:28AM,r092315a.ssf,33.0000000000,0.1693770000,3569.5360000000,"11","11",,0.0000000000
0.0000000000,0.0000000000,"87","305","525",GSTAKE19,Skip Walker,observational-point,2.4000000000,Realtime Corrected,,09:41:09AM,r09181a.ssf,21.0000000000,0.0600000000,3531.4590000000,"19","19",293.1986084000,5.4380078316
0.0000000000,0.0000000000,"88","530","804",GSTAKE63,Skip Walker,observational-point,2.5000000000,Realtime Corrected,,01:52:33PM,r09181a.ssf,27.0000000000,0.1402070000,3535.7910000000,"63","63",153.4349517800,3.1996014118
